timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-04T14:49:39,9.44,1.50,10.00,perdeu,0.00,-10.00,-10.00,0,167.36,P5_rosa_queimada
2026-06-04T14:50:14,33.04,1.50,10.00,perdeu,1.40,-10.00,-20.00,0,167.36,P5_rosa_queimada
2026-06-04T14:51:01,3.87,1.70,10.00,ganhou,1.72,7.20,-12.80,0,167.36,P6_default
2026-06-04T14:51:22,8.87,1.50,17.20,perdeu,1.00,-17.20,-30.00,0,167.36,P5_rosa_queimada
2026-06-04T14:52:04,5.24,1.50,10.00,perdeu,1.48,-10.00,-40.00,0,167.36,P5_rosa_queimada
2026-06-04T14:52:18,1.50,1.70,10.00,perdeu,1.17,-10.00,-50.00,0,167.36,P6_default
2026-06-04T14:52:30,1.20,1.70,10.00,perdeu,1.10,-10.00,-60.00,0,167.36,P6_default
2026-06-04T14:52:49,1.12,1.70,10.00,ganhou,1.70,7.00,-53.00,0,167.36,P6_default
2026-06-04T14:53:10,2.32,1.70,17.00,ganhou,1.70,11.90,-41.10,0,179.26,P6_default
2026-06-04T14:54:13,7.76,1.50,10.00,perdeu,1.45,-10.00,-51.10,0,179.26,P5_rosa_queimada
2026-06-04T14:54:27,1.61,1.70,10.00,perdeu,1.02,-10.00,-61.10,0,179.26,P6_default
2026-06-04T14:54:58,1.33,1.70,10.00,perdeu,1.60,-10.00,-71.10,0,179.26,P6_default
